projectName,projectId,category,startDate,endDate
Ventura Corporation LTD,PID364,Client Project,2013-05-24,2013-09-10
Alexso Inc.,PID365,Client Project,2018-06-19,2018-10-31
"H.J. Harkins Company, Inc.",PID366,Sales Activity,2015-08-31,2016-01-16
Unit Dose Services,PID367,Client Project,2014-12-17,2015-05-22
HyVee Inc,PID368,Sales Activity,2020-01-04,2020-07-12
Parfums Christian Dior,PID369,Sales Activity,2022-12-06,2023-03-26
Wockhardt USA LLC.,PID370,Sales Activity,2020-08-19,2021-03-02
"X-GEN Pharmaceuticals, Inc.",PID371,Client Project,2018-07-13,2018-10-22
"Preferred Pharmaceuticals, Inc.",PID372,Client Project,2013-05-15,2013-09-04
ART COSMETICS SRL,PID373,BAU Activity,2022-03-20,2022-09-30
QUALITY CHOICE (Chain Drug Marketing Association),PID374,Client Project,2017-01-12,2017-07-20
Clinical Solutions Wholesale,PID375,Client Project,2015-08-24,2015-12-01
"Avon Products, Inc",PID376,Client Project,2020-09-19,2020-12-30
Rugby Laboratories,PID377,BAU Activity,2019-04-22,2019-08-31
Laboratoires Boiron,PID378,Sales Activity,2023-02-18,2023-05-28
"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",PID379,Client Project,2017-06-05,2017-09-15
ZELENS Limited,PID380,BAU Activity,2021-06-22,2021-10-07
STAT RX USA LLC,PID381,Client Project,2013-04-28,2013-11-08
"Allergan, Inc.",PID382,Client Project,2016-04-25,2016-09-12
American Health Packaging,PID383,Client Project,2014-01-09,2014-04-28
REMEDYREPACK INC.,PID384,Client Project,2017-02-28,2017-09-05
"Upsher-Smith Laboratories, Inc.",PID385,Client Project,2019-02-05,2019-06-14
"H.J. Harkins Company, Inc.",PID386,Sales Activity,2019-06-12,2019-10-20
Kroger Company,PID387,Sales Activity,2022-02-17,2022-06-30
"Glenmark Generics Inc., USA",PID388,BAU Activity,2015-07-02,2015-10-12
Zydus Pharmaceuticals (USA) Inc.,PID389,Client Project,2015-01-31,2015-06-16
Sandoz Inc,PID390,Client Project,2020-03-17,2020-07-03
Kroger Company,PID391,Client Project,2022-08-19,2022-12-26
Mylan Institutional LLC,PID392,Client Project,2019-10-16,2020-01-31
WAL-MART STORES INC.,PID393,Client Project,2016-09-15,2017-03-19
ReadyMeds,PID394,Client Project,2018-12-26,2019-04-09
Sunovion Pharmaceuticals Inc.,PID395,Sales Activity,2020-10-29,2021-04-15
Mylan Pharmaceuticals Inc.,PID396,Sales Activity,2014-04-06,2014-07-13
Cardinal Health,PID397,Client Project,2017-07-22,2018-01-03
"H.J. Harkins Company, Inc.",PID398,Client Project,2017-06-13,2017-12-17
Ventura Corporation LTD,PID399,Sales Activity,2022-09-16,2022-12-29
Sandoz Inc,PID400,Sales Activity,2022-07-10,2022-11-16
"Northwind Pharmaceuticals, LLC",PID401,Client Project,2013-06-20,2013-12-07
Bristol-Myers Squibb Pharma Company,PID402,Sales Activity,2014-05-12,2014-10-29
"Actelion Pharmaceuticals US, Inc.",PID403,Client Project,2014-12-12,2015-06-21
American Health Packaging,PID404,Sales Activity,2024-03-08,2024-07-24
MEIJER DISTRIBUTION INC,PID405,Client Project,2022-02-25,2022-08-31
"Newton Laboratories, Inc.",PID406,Client Project,2015-10-29,2016-02-06
REMEDYREPACK INC.,PID407,Client Project,2013-07-15,2013-12-28
Chain Drug Marketing Association,PID408,Client Project,2019-09-18,2020-03-24
"Buckeye International, Inc.",PID409,Client Project,2023-03-28,2023-09-03
HandsFree,PID410,BAU Activity,2020-09-28,2021-03-19
"International Labs, Inc.",PID411,BAU Activity,2023-02-22,2023-08-07
USPharmaCo,PID412,Sales Activity,2017-08-21,2018-01-30
American Health Packaging,PID413,Client Project,2014-06-27,2014-12-04
American Health Packaging,PID414,Client Project,2017-01-22,2017-05-26
"Alcon Laboratories, Inc.",PID415,Sales Activity,2020-11-06,2021-05-22
Bryant Ranch Prepack,PID416,Client Project,2023-01-07,2023-05-14
Walgreen Company,PID417,Client Project,2022-12-19,2023-07-06
Strides Arcolab Limited,PID418,Client Project,2018-02-02,2018-06-10
Qualitest Pharmaceuticals,PID419,Sales Activity,2022-08-05,2023-02-21
AstraZeneca Pharmaceuticals LP,PID420,BAU Activity,2017-02-13,2017-08-20
Cardinal Health,PID421,Client Project,2022-11-05,2023-05-13
Jubilant HollisterStier LLC,PID422,Client Project,2020-04-16,2020-08-27
"Nelco Laboratories, Inc.",PID423,Client Project,2013-08-19,2013-11-24
Carilion Materials Management,PID424,Client Project,2019-02-17,2019-08-21
"Physicians Total Care, Inc.",PID425,Client Project,2022-04-01,2022-10-06
Aurobindo Pharma Limited,PID426,Sales Activity,2017-08-10,2017-11-26
Procter & Gamble Manufacturing Company,PID427,Client Project,2014-05-21,2014-09-30
"Nelco Laboratories, Inc.",PID428,Client Project,2015-11-16,2016-03-30
"Scott Holdings Co., Ltd.",PID429,Client Project,2022-03-09,2022-09-21
"Northwind Pharmaceuticals, LLC",PID430,Client Project,2021-03-02,2021-07-17
"Preferred Pharmaceuticals, Inc.",PID431,Sales Activity,2014-10-07,2015-01-16
Bryant Ranch Prepack,PID432,Client Project,2016-03-03,2016-09-08
Neutrogena Corporation,PID433,BAU Activity,2013-11-24,2014-05-14
Roerig,PID434,Client Project,2017-10-01,2018-02-20
STAT RX USA LLC,PID435,Sales Activity,2014-10-08,2015-02-26
Legacy Pharmaceutical Packaging,PID436,Client Project,2014-11-25,2015-05-14
"Liddell Laboratories, Inc.",PID437,Client Project,2017-08-11,2017-11-20
L'Oreal USA Products Inc,PID438,Sales Activity,2019-01-17,2019-05-06
ENERGIZER PERSONAL CARE LLC,PID439,BAU Activity,2023-04-17,2023-08-24
Rebel Distributors Corp.,PID440,Client Project,2015-07-31,2016-01-05
"Western Family Foods, Inc.",PID441,Sales Activity,2013-01-15,2013-07-30
"C.B. Fleet Company, Inc.",PID442,Sales Activity,2016-09-01,2017-02-14
BTG International Inc.,PID443,Sales Activity,2020-12-09,2021-03-26
Rebel Distributors Corp,PID444,Sales Activity,2013-08-17,2013-11-21
QuestVapco Corporation,PID445,BAU Activity,2015-03-09,2015-09-26
Bryant Ranch Prepack,PID446,Sales Activity,2020-08-13,2020-12-29
"Nelco Laboratories, Inc.",PID447,Client Project,2017-08-13,2018-01-27
AvPAK,PID448,Client Project,2015-10-21,2016-04-02
Sandoz Inc,PID449,BAU Activity,2022-09-15,2023-03-29
Legacy Pharmaceutical Packaging,PID450,Client Project,2022-09-03,2023-01-16
Target Corporation,PID451,Sales Activity,2016-02-19,2016-06-01
Major Pharmaceuticals,PID452,Client Project,2016-05-08,2016-11-12
Wal-Mart Stores Inc,PID453,Client Project,2017-09-24,2018-02-05
"Neopharm Co., Ltd.",PID454,Client Project,2013-08-05,2014-02-09
Mylan Institutional LLC,PID455,Client Project,2014-10-30,2015-02-15
Apothecary Shop Wholesale Inc.,PID456,BAU Activity,2015-02-06,2015-06-19
"Antigen Laboratories, Inc.",PID457,Client Project,2017-02-05,2017-05-20
REMEDYREPACK INC.,PID458,Client Project,2021-12-21,2022-06-04
Plymouth Pharmaceuticals Inc,PID459,Client Project,2013-12-15,2014-03-24
The Procter & Gamble Manufacturing Company,PID460,Client Project,2019-07-11,2019-12-31
Sun Products Corporation,PID461,Client Project,2021-05-02,2021-08-16
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PID462,Client Project,2024-03-23,2024-08-05
Apotex Corporation,PID463,Sales Activity,2014-05-30,2014-09-18
"Lupin Pharmaceuticals, Inc.",PID464,Client Project,2013-12-13,2014-05-20
Target Corporation,PID465,Client Project,2020-02-07,2020-07-21
Mylan Pharmaceuticals Inc.,PID466,BAU Activity,2019-06-03,2019-11-10
ESTEE LAUDER INC,PID467,Client Project,2022-04-01,2022-08-07
"Nationwide Laboratories, LLC",PID468,Client Project,2017-09-09,2017-12-29
"BioActive Nutritional, Inc.",PID469,Sales Activity,2023-11-06,2024-04-13
"Shopko Stores Operating Co., LLC",PID470,Sales Activity,2013-02-02,2013-08-11
WOCKHARDT LIMITED,PID471,Client Project,2019-11-19,2020-04-25
"Mylan Pharmaceuticals, Inc.",PID472,Sales Activity,2015-12-16,2016-04-28
American Health Packaging,PID473,Client Project,2014-02-16,2014-06-03
"Caraco Pharmaceutical Laboratories, Ltd.",PID474,Client Project,2014-04-08,2014-07-18
Avema Pharma Solutions,PID475,Sales Activity,2016-04-10,2016-08-21
McKesson Contract Packaging,PID476,Sales Activity,2015-05-31,2015-10-04
"Dolgencorp, LLC",PID477,Client Project,2016-02-03,2016-07-10
REMEDYREPACK INC.,PID478,Client Project,2022-06-05,2022-09-20
"NCS HealthCare of KY, Inc dba Vangard Labs",PID479,Client Project,2019-05-09,2019-11-23
Homeocare Laboratories,PID480,Client Project,2014-05-07,2014-08-14
Premium Formulations LLC,PID481,Client Project,2016-05-25,2016-09-01
"Harris Pharmaceutical, Inc.",PID482,Client Project,2013-03-25,2013-07-31
"Zhejiang Huahai Pharmaceutical Co., Ltd.",PID483,Client Project,2023-10-24,2024-01-28
Uriel Pharmacy Inc.,PID484,Sales Activity,2020-04-18,2020-11-02
REMEDYREPACK INC.,PID485,Client Project,2015-04-27,2015-08-13
"Nelco Laboratories, Inc.",PID486,Client Project,2023-05-16,2023-11-23
"Nelco Laboratories, Inc.",PID487,Client Project,2021-01-23,2021-08-02
"SHISEIDO CO., LTD.",PID488,Sales Activity,2020-09-30,2021-01-16
"Weeks & Leo Co., Inc.",PID489,Sales Activity,2018-09-15,2019-01-21
"SIGMAPHARM LABORATORIES, LLC",PID490,Sales Activity,2016-03-23,2016-10-12
"Nelco Laboratories, Inc.",PID491,BAU Activity,2013-04-08,2013-07-25
REMEDYREPACK INC.,PID492,Client Project,2018-03-15,2018-07-28
Wal-Mart Stores Inc,PID493,BAU Activity,2022-02-22,2022-05-26
Actavis Elizabeth LLC,PID494,Sales Activity,2019-10-03,2020-02-16
"Prime Packaging, Inc.",PID495,Client Project,2017-03-28,2017-08-08
Eminence Organic Skin Care,PID496,Sales Activity,2016-01-06,2016-06-25
"Vitality Works, Inc.",PID497,Client Project,2014-07-26,2014-11-09
Rebel Distributors Corp,PID498,Sales Activity,2013-09-04,2014-02-14
TEVA Pharmaceuticals USA Inc,PID499,Sales Activity,2020-10-04,2021-03-21
"ALK-Abello, Inc.",PID500,Client Project,2013-11-07,2014-03-26
"Arbonne International, LLC",PID501,Client Project,2020-12-23,2021-07-13
"Physicians Total Care, Inc.",PID502,Client Project,2013-11-09,2014-05-16
"Newton Laboratories, Inc.",PID503,Sales Activity,2014-04-03,2014-07-07
"Physicians Total Care, Inc.",PID504,Client Project,2014-07-28,2015-01-11
"Nelco Laboratories, Inc.",PID505,Client Project,2016-06-23,2016-12-12
Merck Sharp & Dohme Corp.,PID506,Client Project,2014-03-06,2014-07-18
Jubilant HollisterStier LLC,PID507,Sales Activity,2013-09-08,2014-01-12
"Antigen Laboratories, Inc.",PID508,Sales Activity,2013-09-11,2014-02-28
"Conney Safety Products, LLC",PID509,Client Project,2015-06-09,2015-09-24
"Preferred Pharmaceuticals, Inc.",PID510,Sales Activity,2023-09-22,2024-03-04
"Auto-Chlor System, LLC",PID511,Client Project,2020-04-04,2020-10-19
Lake Erie Medical DBA Quality Care Products LLC,PID512,Client Project,2018-02-10,2018-06-28
"A&Z Pharmaceutical, Inc.",PID513,Client Project,2018-12-27,2019-04-01
"Physicians Total Care, Inc.",PID514,BAU Activity,2016-10-23,2017-02-11
Bryant Ranch Prepack,PID515,Client Project,2013-10-11,2014-02-20
Zydus Pharmaceuticals (USA) Inc.,PID516,Client Project,2019-02-07,2019-08-25
Ranbaxy Pharmaceuticals Inc.,PID517,Client Project,2013-06-13,2013-10-28
DENTOVATIONS INC,PID518,Client Project,2019-07-18,2020-02-01
"Mallinckrodt, Inc",PID519,BAU Activity,2020-07-23,2020-11-11
SOMBRA COSMETICS INC.,PID520,Sales Activity,2014-11-24,2015-06-02
"Marathon Pharmaceuticals, LLC",PID521,Client Project,2018-04-15,2018-08-02
A-S Medication Solutions LLC,PID522,Client Project,2014-03-02,2014-09-18
Heritage Pharmaceuticals Inc.,PID523,Client Project,2015-02-23,2015-08-27
AHAVA Dead Sea Laboratories Ltd,PID524,Client Project,2017-07-27,2018-01-13
CHAIN DRUG MARKETING ASSOCIATION INC,PID525,BAU Activity,2015-01-27,2015-06-11
"Target Corp.,",PID526,Sales Activity,2014-03-08,2014-09-22
Unit Dose Services,PID527,BAU Activity,2016-12-15,2017-04-30
"Antigen Laboratories, Inc.",PID528,Sales Activity,2022-04-30,2022-10-05
"NCS HealthCare of KY, Inc dba Vangard Labs",PID529,Client Project,2016-06-07,2016-11-14
REMEDYREPACK INC.,PID530,Client Project,2013-07-28,2014-02-05
"Deseret Biologicals, Inc.",PID531,Client Project,2013-01-06,2013-07-11
REMEDYREPACK INC.,PID532,Sales Activity,2013-02-09,2013-08-21
"Genentech, Inc.",PID533,BAU Activity,2016-10-19,2017-03-30
"Lannett Company, Inc.",PID534,Client Project,2022-01-29,2022-08-12
McKesson,PID535,Client Project,2019-12-11,2020-05-23
Natural Health Supply,PID536,Client Project,2018-04-02,2018-08-21
Pharmaceutics Corporation,PID537,Client Project,2019-07-26,2020-02-04
"Antigen Laboratories, Inc.",PID538,Sales Activity,2014-07-17,2014-11-26
HyVee Inc,PID539,Sales Activity,2021-06-09,2021-12-23
SCA Tissue North America,PID540,Client Project,2020-08-06,2020-12-11
sanofi-aventis U.S. LLC,PID541,BAU Activity,2023-02-20,2023-08-29
"Nelco Laboratories, Inc.",PID542,BAU Activity,2023-08-04,2023-12-13
"APP Pharmaceuticals, LLC",PID543,Client Project,2021-05-17,2021-12-02
"AvKARE, Inc.",PID544,Sales Activity,2014-04-15,2014-09-23
Meijer Distribution Inc,PID545,Client Project,2018-11-15,2019-05-20
"Teva Parenteral Medicines, Inc",PID546,Sales Activity,2015-03-05,2015-06-17
The Mentholatum Company,PID547,BAU Activity,2014-06-17,2014-10-31
"Humco Holding Group, Inc",PID548,Sales Activity,2023-11-18,2024-03-05
"Shopko Stores Operating Co., LLC",PID549,Client Project,2023-05-16,2023-10-21
"Paddock Laboratories, LLC",PID550,Client Project,2021-10-14,2022-03-01
Apotheca Company,PID551,Client Project,2016-11-27,2017-04-01
KIK Custom Products,PID552,BAU Activity,2016-03-13,2016-06-20
Wockhardt USA LLC.,PID553,Client Project,2016-03-02,2016-06-18
"Aloe Care International, LLC",PID554,Client Project,2017-08-01,2018-02-10
"La Prairie, Inc.",PID555,Sales Activity,2023-07-04,2023-11-19
Valu Merchandisers Company,PID556,Client Project,2013-12-02,2014-04-20
REMEDYREPACK INC.,PID557,Sales Activity,2019-02-24,2019-06-11
Demoulas Super Markets,PID558,Client Project,2014-01-21,2014-04-30
King Bio Inc.,PID559,BAU Activity,2013-01-13,2013-07-30
"Preferred Pharmaceuticals, Inc",PID560,BAU Activity,2016-04-09,2016-07-25
"United Research Laboratories, Inc.",PID561,Client Project,2018-08-18,2019-02-02
"SKINFOOD CO., LTD.",PID562,BAU Activity,2016-04-06,2016-10-10
Wal-Mart Stores Inc,PID563,Client Project,2013-12-29,2014-06-02
"Dispensing Solutions, Inc.",PID564,BAU Activity,2016-03-21,2016-09-25
"Glenmark Generics Inc., USA",PID565,Sales Activity,2019-06-06,2019-10-15
"Triax Pharmaceuticals, LLC",PID566,BAU Activity,2017-01-29,2017-05-13
Parfums Christian Dior,PID567,Sales Activity,2018-12-26,2019-04-12
Proficient Rx LP,PID568,Sales Activity,2020-07-15,2020-12-20
"Nelco Laboratories, Inc.",PID569,BAU Activity,2015-01-11,2015-06-29
"Advanced Beauty Systems, Inc.",PID570,Sales Activity,2018-09-12,2019-02-28
"WG Critical Care, LLC",PID571,Sales Activity,2020-03-30,2020-09-09
Zydus Pharmaceuticals (USA) Inc.,PID572,Sales Activity,2019-03-07,2019-09-26
"Nelco Laboratories, Inc.",PID573,Client Project,2019-10-26,2020-05-02
Safeway,PID574,Sales Activity,2013-12-01,2014-04-07
"PD-Rx Pharmaceuticals, Inc.",PID575,Client Project,2016-11-02,2017-03-19
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PID576,Sales Activity,2017-07-25,2018-01-10
"Physicians Total Care, Inc.",PID577,BAU Activity,2015-01-17,2015-07-22
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PID578,Client Project,2018-07-13,2019-01-02
"Nelco Laboratories, Inc.",PID579,BAU Activity,2015-05-26,2015-09-11
Bryant Ranch Prepack,PID580,Client Project,2018-12-01,2019-05-21
Natural Health Supply,PID581,Sales Activity,2021-11-29,2022-06-16
Kay's Designs International Limited,PID582,Client Project,2018-09-03,2019-01-22
"Nelco Laboratories, Inc.",PID583,Client Project,2016-05-22,2016-09-01
Laboratoire Aguettant,PID584,Sales Activity,2022-09-26,2022-12-31
Rebel Distributors Corp.,PID585,Sales Activity,2023-07-11,2023-11-27
Target Corporation,PID586,Sales Activity,2014-06-10,2014-09-26
"SJ Creations, Inc.",PID587,Client Project,2016-02-24,2016-07-09
Western Family Foods Inc,PID588,Client Project,2016-04-25,2016-07-30
"Aidance Skincare & Topical Solutions, LLC",PID589,Client Project,2022-10-22,2023-04-28
Sandoz Inc,PID590,Client Project,2019-09-29,2020-03-20
A-S Medication Solutions LLC,PID591,Sales Activity,2019-05-10,2019-08-16
REMEDYREPACK INC.,PID592,Sales Activity,2021-09-07,2022-03-16
"Teva Parenteral Medicines, Inc.",PID593,Client Project,2017-07-04,2017-11-22
CVS Pharmacy,PID594,BAU Activity,2022-04-12,2022-08-01
"Bayer HealthCare LLC, Consumer Care",PID595,Sales Activity,2017-04-05,2017-08-14
Rebel Distributors Corp,PID596,Client Project,2017-04-11,2017-07-30
AvPAK,PID597,Sales Activity,2016-11-18,2017-05-31
AbbVie Inc.,PID598,Client Project,2017-05-04,2017-09-09
SOMBRA COSMETICS INC.,PID599,Client Project,2019-04-26,2019-08-31
McKesson,PID600,BAU Activity,2019-10-03,2020-02-10
"Humo Holding Group, inc.",PID601,Sales Activity,2015-12-26,2016-06-30
"Physicians Care Alliance, LLC DBA PCA SKIN",PID602,Client Project,2017-04-22,2017-08-09
Air Liquide Industrial U.S. LP,PID603,Sales Activity,2017-03-06,2017-09-11
Mylan Institutional Inc.,PID604,Client Project,2019-08-28,2020-01-04
Home Sweet Homeopathics,PID605,Client Project,2014-08-06,2015-01-26
Proficient Rx LP,PID606,Client Project,2021-01-29,2021-08-09
Topco Associates LLC,PID607,Client Project,2016-05-05,2016-09-23
Unit Dose Services,PID608,Client Project,2021-08-23,2022-03-01
"Cubist Pharmaceuticals, Inc.",PID609,Client Project,2024-03-13,2024-08-19
"Preferred Pharmaceuticals, Inc",PID610,Sales Activity,2013-03-23,2013-09-11
"Hospira, Inc.",PID611,Client Project,2019-10-10,2020-04-28
ESTEE LAUDER INC,PID612,Client Project,2016-08-10,2017-01-20
CARDINAL HEALTH,PID613,Sales Activity,2014-02-02,2014-07-12
Citron Pharma LLC,PID614,Sales Activity,2015-10-10,2016-03-25
B. Braun Medical Inc.,PID615,Client Project,2019-02-18,2019-07-25
Family Dollar,PID616,Client Project,2022-02-23,2022-07-11
"ALK-Abello, Inc.",PID617,Sales Activity,2017-12-14,2018-03-26
Family Dollar,PID618,Client Project,2017-08-29,2017-12-14
"Nelco Laboratories, Inc.",PID619,Sales Activity,2016-11-13,2017-05-17
"Nelco Laboratories, Inc.",PID620,Sales Activity,2018-08-13,2019-01-01
A-S Medication Solutions LLC,PID621,Sales Activity,2016-03-16,2016-09-22
"Physicians Total Care, Inc.",PID622,Client Project,2017-02-23,2017-07-29
"Mallinckrodt, Inc.",PID623,Client Project,2013-02-10,2013-07-19
"ALK-Abello, Inc.",PID624,Client Project,2023-02-06,2023-08-20
Natural Health Supply,PID625,Sales Activity,2022-03-29,2022-10-04
"Preferred Pharmaceuticals, Inc",PID626,Client Project,2017-06-28,2017-11-13
"Nelco Laboratories, Inc.",PID627,Client Project,2016-04-17,2016-08-29
"Certus Medical, Inc.",PID628,BAU Activity,2013-11-23,2014-04-11
"ALK-Abello, Inc.",PID629,Client Project,2021-09-04,2022-03-14
"Dispensing Solutions, Inc.",PID630,Client Project,2013-08-01,2014-02-16
"Nelco Laboratories, Inc.",PID631,Client Project,2021-07-27,2022-02-08
Cardinal Health,PID632,Sales Activity,2023-10-09,2024-04-15
"Nelco Laboratories, Inc.",PID633,BAU Activity,2019-10-07,2020-01-21
B. Braun Medical Inc.,PID634,Client Project,2021-08-12,2021-12-25
"Command Brands, LLC",PID635,Client Project,2020-01-16,2020-06-27
"Allergan, Inc.",PID636,Client Project,2016-02-26,2016-09-12
"PD-Rx Pharmaceuticals, Inc.",PID637,Client Project,2015-09-27,2016-03-14
Save-A-Lot Food Stores Ltd,PID638,Sales Activity,2014-07-18,2015-01-04
Torrent Pharmaceuticals Limited,PID639,BAU Activity,2018-02-19,2018-07-03
"Nelco Laboratories, Inc.",PID640,Client Project,2015-11-25,2016-04-30
"Hawaii Home Infusion Associates, Ltd.",PID641,Sales Activity,2023-10-24,2024-03-08
"Dispensing Solutions, Inc.",PID642,Sales Activity,2020-12-15,2021-03-29
American Sales Company,PID643,Client Project,2016-06-12,2016-09-30
VVF Illinois Services LLC,PID644,Client Project,2015-10-20,2016-04-08
Mondel?z Global LLC,PID645,BAU Activity,2018-07-13,2019-01-21
Sam's West Inc,PID646,Client Project,2014-12-27,2015-07-09
7-11,PID647,Client Project,2020-12-18,2021-04-02
"Novartis Consumer Health, Inc.",PID648,Client Project,2018-08-24,2019-01-02
Pure Source Inc.,PID649,Client Project,2022-09-27,2023-01-09
Alembic Pharmaceuticals Limited,PID650,Sales Activity,2020-11-23,2021-03-28
"Physicians Total Care, Inc.",PID651,Client Project,2018-03-01,2018-09-16
ESTEE LAUDER INC,PID652,Client Project,2019-09-16,2019-12-24
Parke-Davis Div of Pfizer Inc,PID653,Client Project,2019-02-09,2019-05-15
Lake Erie Medical DBA Quality Care Products LLC,PID654,Client Project,2014-10-26,2015-05-01
"Church & Dwight Co., Inc.",PID655,Client Project,2016-03-09,2016-07-16
"GOWOONSESANG COSMETICS CO., LTD.",PID656,Client Project,2022-10-05,2023-02-10
REMEDYREPACK INC.,PID657,Client Project,2023-11-06,2024-02-22
"Taro Pharmaceuticals U.S.A., Inc.",PID658,Client Project,2013-09-11,2014-03-23
"The Pepsom Group, Inc.",PID659,Client Project,2014-09-10,2015-01-26
Rubbermaid Commercial Products LLC,PID660,Client Project,2017-11-22,2018-04-27
Zydus Pharmaceuticals (USA) Inc.,PID661,Client Project,2016-04-09,2016-07-13
BioActive Nutritional,PID662,Client Project,2013-12-14,2014-05-30
Unifirst First Aid Corporation,PID663,Client Project,2023-04-28,2023-11-07
REMEDYREPACK INC.,PID664,Client Project,2021-03-27,2021-08-02
ViiV Healthcare Company,PID665,Sales Activity,2016-11-07,2017-05-19
"Global Pharmaceuticals, Division of Impax Laboratories Inc.",PID666,Client Project,2023-12-26,2024-04-15
"Pliva, Inc",PID667,Client Project,2020-06-16,2020-11-25
"Pack Pharmaceuticals, LLC",PID668,BAU Activity,2015-12-23,2016-03-27
Uriel Pharmacy Inc,PID669,Client Project,2022-01-16,2022-05-03
Apotex Corp,PID670,Client Project,2014-02-06,2014-05-20
PRASCO Laboratories,PID671,Client Project,2015-09-21,2016-03-01
"Inel Cosmetics Co., Ltd.",PID672,BAU Activity,2021-11-11,2022-05-28
"Evonik Stockhausen, LLC",PID673,Sales Activity,2015-12-27,2016-04-14
"Energique, Inc.",PID674,Client Project,2022-05-17,2022-10-25
"Ajou Medics Co., Ltd",PID675,Client Project,2018-07-15,2019-01-31
Apotheca Company,PID676,Sales Activity,2014-01-19,2014-07-31
Cardinal Health,PID677,Sales Activity,2021-09-07,2022-03-14
Mylan Pharmaceuticals Inc.,PID678,Sales Activity,2018-06-09,2018-10-27
"NATURE REPUBLIC CO., LTD.",PID679,Client Project,2015-02-08,2015-07-18
Eisai Inc.,PID680,Client Project,2016-08-03,2016-12-08
Parke-Davis Div of Pfizer Inc,PID681,Sales Activity,2024-02-02,2024-08-17
Physicians Formula Inc,PID682,Client Project,2017-05-10,2017-11-26
"Nelco Laboratories, Inc.",PID683,BAU Activity,2018-05-01,2018-09-05
ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,PID684,Sales Activity,2023-09-28,2024-03-14
"Nelco Laboratories, Inc.",PID685,Client Project,2022-03-14,2022-09-19
Jubilant HollisterStier LLC,PID686,Client Project,2015-10-22,2016-04-29
"Ann Arbor Welding Supply Co., Inc. DBA Arbor Specialty Gases",PID687,Client Project,2016-08-28,2017-01-06
L. Perrigo Company,PID688,Client Project,2016-06-25,2016-12-10
CVS Pharmacy,PID689,Sales Activity,2015-07-17,2015-10-23
"Energique, Inc.",PID690,Client Project,2021-10-12,2022-04-01
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PID691,Client Project,2015-12-12,2016-04-01
"Upsher-Smith Laboratories, Inc.",PID692,Client Project,2014-12-02,2015-03-16
"Novartis Consumer Health, Inc.",PID693,Client Project,2022-07-25,2022-11-13
Endo Pharmaceuticals Inc. DBA Endo Generic Products,PID694,Client Project,2013-08-10,2014-01-27
"Nelco Laboratories, Inc.",PID695,Sales Activity,2022-03-14,2022-07-28
sanofi-aventis U.S. LLC,PID696,Client Project,2022-04-06,2022-08-19
Dr. Reddy's Laboratories Limited,PID697,BAU Activity,2017-12-30,2018-07-05
Heritage Pharmaceuticals Inc.,PID698,Client Project,2023-01-10,2023-06-22
Mylan Pharmaceuticals Inc.,PID699,Client Project,2019-02-15,2019-07-29
"International Labs, Inc.",PID700,Client Project,2020-12-27,2021-06-07
Sandoz Inc,PID701,Client Project,2022-03-22,2022-07-29
"Medline Industries, Inc.",PID702,Sales Activity,2021-02-07,2021-07-27
St Marys Medical Park Pharmacy,PID703,BAU Activity,2016-12-26,2017-07-11
"Nelco Laboratories, Inc.",PID704,Sales Activity,2020-02-25,2020-07-13
"Deseret Biologicals, Inc.",PID705,Client Project,2019-01-24,2019-06-28
"RUGBY LABORATORIES, INC.",PID706,Client Project,2020-01-05,2020-04-12
Home Sweet Homeopathics,PID707,Client Project,2016-07-06,2016-12-21
Welding & Therapy Service Inc.,PID708,Sales Activity,2022-05-17,2022-10-21
Uriel Pharmacy Inc.,PID709,Client Project,2016-08-14,2017-02-19
Mission Pharmacal Company,PID710,BAU Activity,2022-10-25,2023-04-06
Darby Dental Supply Co Inc,PID711,Client Project,2017-03-21,2017-09-25
"Tarte, Inc",PID712,Client Project,2021-01-03,2021-07-15
Cardinal Health,PID713,Client Project,2022-12-03,2023-05-10
Octapharma AB,PID714,Client Project,2014-10-01,2015-01-12
Momar Incorporated,PID715,Sales Activity,2017-09-09,2017-12-21
McKesson Contract Packaging,PID716,Client Project,2014-12-11,2015-04-24
"Chattem, Inc.",PID717,Client Project,2013-03-17,2013-07-31
"Nelco Laboratories, Inc.",PID718,BAU Activity,2020-04-26,2020-11-03
Pfizer Consumer Healthcare,PID719,Sales Activity,2019-01-22,2019-05-10
Rebel Distributors Corp,PID720,BAU Activity,2021-11-12,2022-03-21
"Nan Mei Pharmaceutical Co., Ltd.",PID721,Sales Activity,2016-02-11,2016-07-21
"Nelco Laboratories, Inc.",PID722,Client Project,2023-09-07,2024-01-12
"Novartis Consumer Health, Inc.",PID723,Client Project,2017-04-23,2017-09-10
"Asclemed USA, Inc.",PID724,Client Project,2014-03-07,2014-09-25
REMEDYREPACK INC.,PID725,Sales Activity,2018-03-06,2018-07-16
"Preferred Pharmaceuticals, Inc.",PID726,Client Project,2017-01-30,2017-06-16
H E B,PID727,Sales Activity,2023-09-23,2024-04-10
